production_volume,production_cost,supplier_quality,delivery_delay,defect_rate,quality_score,maintenance_hours,downtime_percentage,downtime_pct_corrected,inventory_turnover,stockout_rate,worker_productivity,safety_incidents,energy_consumption,energy_efficiency,additive_process_time,additive_material_cost,defect_status,high_defect_flag,low_quality_flag,downtime_category,production_volume_category,energy_efficiency_category,stockout_category
299,"$7,297.17",91.03%,2,2.84,70.16%,3,118.86%,1.189%,2.50,4.36%,95.397%,7,2528.414,0.4963,2.91,$494.47,0,0,1,Medium,High,High,Medium
138,"$19,292.23",97.63%,4,1.04,79.65%,9,118.97%,1.190%,7.70,4.82%,95.695%,5,1961.560,0.3833,3.47,$485.21,0,0,1,Medium,Low,High,Medium
449,"$17,412.59",93.95%,2,4.86,67.85%,0,119.01%,1.190%,5.65,8.51%,88.039%,2,4294.303,0.2889,6.09,$482.00,1,1,1,Medium,Low,Medium,High
704,"$10,380.73",83.50%,2,0.91,88.28%,22,119.09%,1.191%,2.96,7.59%,86.205%,7,1779.601,0.3481,8.99,$351.85,1,0,0,Medium,Medium,Medium,High
322,"$12,913.82",80.28%,2,1.81,62.53%,12,119.31%,1.193%,4.21,4.27%,93.979%,6,1103.601,0.2432,5.47,$118.48,0,0,1,Medium,High,Medium,Medium
473,"$7,200.43",80.18%,5,4.81,85.28%,9,119.34%,1.193%,3.35,9.23%,81.740%,8,4682.288,0.4662,6.73,$351.14,1,1,0,Medium,Low,High,High
401,"$12,690.02",97.36%,4,1.25,85.71%,12,119.43%,1.194%,4.36,7.75%,85.792%,5,2910.774,0.4923,2.61,$467.93,1,0,0,Medium,Medium,High,High
645,"$9,224.24",97.65%,3,2.28,89.43%,21,119.51%,1.195%,4.75,1.53%,95.457%,3,2456.837,0.3122,6.78,$445.94,1,0,0,Medium,Medium,Medium,Low
231,"$18,906.66",86.58%,4,0.69,97.81%,4,119.57%,1.196%,6.05,3.37%,89.125%,9,4652.108,0.4208,8.44,$244.34,0,0,0,Medium,Medium,High,Medium
232,"$10,367.17",98.45%,5,4.79,62.93%,2,119.60%,1.196%,3.53,3.36%,98.932%,2,4151.548,0.2323,4.70,$353.50,1,1,1,Medium,Low,Medium,Medium
747,"$17,924.97",92.28%,0,1.34,88.59%,15,119.64%,1.196%,6.17,0.39%,93.681%,4,4466.350,0.4412,2.30,$403.18,1,0,0,Medium,Low,High,Low
671,"$10,567.59",88.76%,0,1.25,69.81%,10,120.32%,1.203%,6.39,2.70%,89.384%,3,4086.392,0.2403,6.67,$192.12,1,0,1,Medium,High,Medium,Low
640,"$17,613.63",83.10%,0,1.43,91.37%,17,120.36%,1.204%,5.02,5.24%,87.069%,9,3485.542,0.1544,8.62,$134.99,1,0,0,Medium,Medium,Low,Medium
459,"$19,201.34",94.60%,5,4.20,82.99%,2,120.37%,1.204%,5.78,2.89%,83.977%,1,1975.066,0.3157,9.98,$117.46,1,1,0,Medium,Medium,Medium,Low
262,"$13,726.05",96.41%,4,1.26,82.55%,14,120.37%,1.204%,9.20,8.70%,83.368%,4,4032.506,0.4535,8.80,$366.75,1,0,0,Medium,Medium,High,High
606,"$16,436.70",84.27%,1,3.51,79.94%,11,120.45%,1.205%,3.33,0.68%,96.059%,0,3024.969,0.1968,7.46,$138.35,1,1,1,Medium,Low,Low,Low
971,"$16,281.71",81.14%,1,4.55,67.28%,9,120.78%,1.208%,8.68,7.97%,98.083%,8,1518.520,0.4952,4.81,$445.65,1,1,1,Medium,Medium,High,High
774,"$12,384.88",93.65%,0,3.48,90.94%,18,120.82%,1.208%,8.84,4.75%,82.118%,2,1788.136,0.1549,8.20,$170.45,1,1,0,Medium,High,Low,Medium
185,"$7,919.36",98.24%,5,3.39,65.16%,18,120.84%,1.208%,8.55,0.77%,89.443%,6,4533.968,0.2088,9.77,$425.87,1,1,1,Medium,High,Low,Low
379,"$12,508.69",86.92%,4,2.90,90.01%,13,120.95%,1.209%,2.16,0.99%,95.990%,1,1977.951,0.3241,3.85,$440.80,1,0,0,Medium,Low,Medium,Low
192,"$17,726.38",94.47%,5,0.99,73.41%,0,120.98%,1.210%,5.80,4.79%,94.796%,3,1768.032,0.2877,9.58,$484.42,1,0,1,Medium,Low,Medium,Medium
309,"$11,294.41",95.32%,3,3.81,63.38%,1,121.14%,1.211%,7.17,6.84%,91.624%,6,2740.435,0.2196,3.32,$277.01,1,1,1,Medium,Low,Low,High
330,"$19,185.47",80.44%,4,1.78,63.19%,21,121.41%,1.214%,5.44,3.06%,91.501%,9,3667.615,0.3214,8.84,$271.05,1,0,1,Medium,Low,Medium,Medium
712,"$19,506.90",90.88%,5,0.88,73.92%,2,121.41%,1.214%,6.17,4.87%,89.804%,3,4206.755,0.4118,9.98,$347.04,1,0,1,Medium,Low,High,Medium
416,"$9,079.32",93.48%,0,4.80,76.71%,10,121.53%,1.215%,3.10,6.46%,96.916%,9,3147.016,0.2937,8.14,$384.87,1,1,1,Medium,High,Medium,High
557,"$13,650.54",89.00%,3,3.10,69.13%,10,121.58%,1.216%,6.04,1.20%,90.943%,6,3240.723,0.4049,7.24,$425.69,1,1,1,Medium,Medium,High,Low
679,"$9,680.96",80.64%,3,1.96,76.37%,8,121.74%,1.217%,9.54,5.80%,83.987%,8,3020.207,0.3638,2.75,$374.84,0,0,1,Medium,Medium,Medium,Medium
348,"$18,411.41",99.53%,1,1.07,80.57%,19,121.77%,1.218%,9.75,2.18%,81.665%,1,3983.135,0.4037,9.42,$283.45,1,0,0,Medium,Medium,High,Low
705,"$17,344.76",86.77%,3,2.62,84.36%,11,122.39%,1.224%,7.58,6.71%,98.803%,3,1917.180,0.2940,9.26,$421.79,1,0,0,Medium,Low,Medium,High
877,"$8,735.13",81.71%,1,4.07,79.15%,4,122.44%,1.224%,5.99,7.46%,92.713%,6,4002.962,0.3432,5.15,$368.49,1,1,1,Medium,High,Medium,High
258,"$13,783.46",91.15%,0,3.49,66.34%,15,122.88%,1.229%,8.10,4.86%,83.210%,4,2516.834,0.3927,9.77,$486.73,1,1,1,Medium,High,High,Medium
423,"$17,541.77",90.17%,5,2.37,71.58%,4,122.96%,1.230%,5.91,9.06%,91.957%,9,2323.689,0.2628,5.17,$429.05,1,0,1,Medium,Low,Medium,High
189,"$12,882.05",89.08%,4,2.94,92.36%,3,123.25%,1.232%,3.16,6.92%,95.981%,7,3268.682,0.4370,4.58,$440.91,0,0,0,Medium,Medium,High,High
809,"$12,849.94",86.06%,2,1.32,96.63%,2,123.25%,1.232%,6.54,8.21%,99.408%,6,2995.394,0.2801,3.72,$465.27,1,0,0,Medium,Low,Medium,High
406,"$6,998.15",89.38%,3,4.48,94.84%,5,123.53%,1.235%,5.74,9.62%,86.848%,4,3476.685,0.1550,1.44,$103.55,1,1,0,Medium,High,Low,High
208,"$5,002.02",97.47%,4,1.42,74.46%,2,123.63%,1.236%,5.88,3.85%,89.396%,0,4760.106,0.4382,7.25,$206.48,1,0,1,Medium,Medium,High,Medium
816,"$15,147.26",90.53%,2,1.66,88.03%,5,123.89%,1.239%,9.17,6.01%,95.739%,6,1121.137,0.1692,8.26,$295.30,1,0,0,Medium,Low,Low,High
455,"$13,034.85",95.98%,5,4.07,73.07%,9,123.93%,1.239%,4.89,1.88%,80.371%,3,1981.833,0.1052,9.78,$323.73,1,1,1,Medium,High,Low,Low
729,"$10,182.21",92.81%,0,4.32,61.83%,10,123.97%,1.240%,2.52,8.99%,93.076%,0,3224.431,0.4861,5.52,$107.66,1,1,1,Medium,Medium,High,High
833,"$17,349.10",82.12%,0,1.01,92.41%,15,124.12%,1.241%,7.30,8.71%,81.563%,4,3060.748,0.3822,6.09,$287.75,1,0,0,Medium,High,High,High
869,"$11,923.36",92.21%,2,1.83,89.66%,3,124.33%,1.243%,3.79,0.26%,87.566%,3,2428.393,0.4159,5.97,$114.35,1,0,0,Medium,High,High,Low
174,"$5,214.73",94.39%,1,4.26,88.78%,7,124.66%,1.247%,3.09,4.11%,90.632%,5,3064.665,0.1575,9.62,$184.32,1,1,0,Medium,High,Low,Medium
575,"$7,203.83",90.06%,2,0.56,73.63%,20,124.97%,1.250%,8.99,5.00%,93.271%,5,1855.219,0.4479,2.01,$295.98,1,0,1,Medium,Low,High,Medium
828,"$7,142.75",82.92%,3,1.52,72.90%,20,125.31%,1.253%,9.12,3.08%,95.392%,9,1172.402,0.2744,5.07,$188.27,1,0,1,Medium,Medium,Medium,Medium
581,"$17,809.14",83.51%,5,2.62,98.23%,19,125.32%,1.253%,6.30,2.16%,91.644%,2,2892.491,0.1829,1.97,$264.22,1,0,0,Medium,High,Low,Low
387,"$17,356.86",98.61%,0,0.69,60.35%,21,125.37%,1.254%,6.32,3.38%,93.204%,1,3318.915,0.2183,4.58,$420.80,1,0,1,Medium,Medium,Low,Medium
573,"$12,333.47",99.68%,1,1.42,91.60%,9,125.53%,1.255%,3.91,8.46%,84.628%,9,3774.018,0.1189,6.57,$152.59,0,0,0,Medium,Low,Low,High
749,"$7,425.42",80.44%,4,4.79,88.93%,1,125.66%,1.257%,6.85,3.65%,92.366%,1,2978.157,0.2784,1.93,$164.51,0,1,0,Medium,Medium,Medium,Medium
844,"$10,127.74",80.14%,3,2.71,89.80%,11,125.77%,1.258%,9.28,0.33%,88.060%,8,3890.893,0.2518,2.25,$438.11,0,0,0,Medium,High,Medium,Low
260,"$12,611.18",85.20%,0,3.51,94.93%,5,125.83%,1.258%,7.07,5.62%,80.302%,4,3873.150,0.2437,8.09,$302.56,1,1,0,Medium,High,Medium,Medium
628,"$17,045.03",93.94%,0,4.76,95.71%,4,126.15%,1.262%,3.56,1.40%,98.321%,7,1711.888,0.4436,4.39,$353.32,1,1,0,Medium,Low,High,Low
423,"$12,443.59",89.27%,5,1.35,67.97%,15,126.18%,1.262%,6.14,5.00%,88.384%,4,2497.115,0.4893,7.35,$398.31,1,0,1,Medium,Medium,High,Medium
377,"$18,469.47",88.19%,2,4.19,61.82%,22,126.46%,1.265%,7.57,1.48%,87.034%,3,3907.247,0.1059,3.03,$362.88,1,1,1,Medium,Medium,Low,Low
498,"$8,920.00",93.31%,2,3.17,91.83%,14,126.46%,1.265%,9.50,1.15%,95.054%,7,2304.692,0.2823,9.62,$116.85,1,1,0,Medium,Low,Medium,Low
744,"$6,790.72",94.05%,1,0.82,94.50%,6,126.48%,1.265%,5.57,3.47%,87.081%,0,2434.957,0.2723,6.34,$359.07,1,0,0,Medium,Medium,Medium,Medium
395,"$7,392.38",97.13%,3,0.95,80.92%,5,126.60%,1.266%,7.00,7.04%,92.296%,2,2786.103,0.2257,7.80,$222.95,0,0,0,Medium,High,Low,High
536,"$8,767.54",85.30%,4,3.76,65.64%,8,127.21%,1.272%,8.09,6.22%,89.235%,2,2858.044,0.1544,6.59,$396.94,1,1,1,Medium,Low,Low,High
464,"$5,377.90",96.06%,1,2.67,87.45%,7,127.24%,1.272%,5.15,7.33%,98.606%,4,4042.339,0.3956,7.92,$330.03,0,0,0,Medium,Medium,High,High
976,"$6,580.18",98.68%,1,0.75,99.39%,19,127.29%,1.273%,9.69,0.14%,99.983%,3,3260.687,0.1391,2.13,$135.18,1,0,0,Medium,Medium,Low,Low
590,"$15,599.06",99.57%,4,4.88,61.63%,5,127.46%,1.275%,7.95,0.72%,92.855%,0,3874.134,0.1892,5.11,$131.32,0,1,1,Medium,High,Low,Low
390,"$5,338.47",83.93%,3,1.00,69.80%,21,127.50%,1.275%,4.05,1.08%,92.474%,0,2173.300,0.2176,6.21,$362.11,1,0,1,Medium,Medium,Low,Low
960,"$18,543.42",81.22%,0,1.19,72.35%,0,127.71%,1.277%,9.21,1.10%,89.284%,4,1220.097,0.2349,7.73,$344.87,1,0,1,Medium,Low,Medium,Low
338,"$7,257.08",83.98%,5,4.42,87.12%,22,127.85%,1.279%,3.40,5.26%,85.010%,9,2471.105,0.2570,7.89,$444.94,1,1,0,Medium,High,Medium,Medium
357,"$17,953.21",81.95%,5,0.60,60.34%,22,127.91%,1.279%,2.97,4.78%,84.937%,7,1144.754,0.4279,6.96,$409.47,1,0,1,Medium,Low,High,Medium
342,"$11,661.55",85.08%,1,3.45,67.04%,17,128.34%,1.283%,6.78,2.23%,93.926%,0,4940.063,0.2635,8.11,$357.91,1,1,1,Medium,Low,Medium,Low
955,"$16,380.73",85.41%,3,3.44,99.76%,23,128.47%,1.285%,6.63,8.99%,99.474%,6,1842.162,0.2412,9.14,$300.55,1,1,0,Medium,Low,Medium,High
614,"$13,930.50",83.28%,0,1.24,84.07%,17,128.60%,1.286%,4.34,4.91%,80.361%,5,4029.035,0.4967,4.00,$176.14,1,0,0,Medium,High,High,Medium
441,"$9,130.72",96.78%,1,4.66,91.92%,6,128.91%,1.289%,9.84,1.68%,97.996%,5,1966.106,0.2724,4.25,$491.99,1,1,0,Medium,Medium,Medium,Low
936,"$6,509.56",94.36%,5,3.65,92.90%,0,129.30%,1.293%,6.64,9.63%,87.625%,7,2171.614,0.2554,4.36,$290.41,1,1,0,Medium,Medium,Medium,High
852,"$19,753.51",83.01%,5,1.48,76.74%,23,129.53%,1.295%,2.81,0.05%,87.449%,7,4113.390,0.2086,9.41,$174.63,1,0,1,Medium,High,Low,Low
542,"$14,124.79",85.84%,1,2.75,86.41%,2,129.55%,1.296%,4.83,0.18%,81.575%,0,3346.222,0.1750,5.13,$352.90,0,0,0,Medium,High,Low,Low
260,"$11,161.83",95.05%,1,3.44,89.16%,16,129.60%,1.296%,8.63,3.13%,86.952%,0,3154.217,0.1274,4.32,$237.78,1,1,0,Medium,Medium,Low,Medium
538,"$15,939.65",81.90%,0,2.02,75.80%,3,129.60%,1.296%,5.73,6.09%,90.046%,8,1048.934,0.1605,9.94,$232.21,0,0,1,Medium,Low,Low,High
733,"$5,065.45",92.56%,3,0.55,66.05%,12,129.68%,1.297%,8.34,7.02%,88.024%,9,4842.074,0.1944,7.51,$387.58,1,0,1,Medium,Medium,Low,High
477,"$8,309.77",97.09%,2,0.71,73.70%,13,130.04%,1.300%,3.49,5.89%,83.847%,8,4583.426,0.1604,5.03,$425.51,1,0,1,Medium,High,Low,Medium
985,"$14,740.68",98.48%,5,3.54,93.87%,3,130.25%,1.303%,5.36,4.03%,98.399%,6,2454.812,0.1198,7.24,$103.94,1,1,0,Medium,Medium,Low,Medium
897,"$12,944.90",90.37%,1,2.64,75.61%,22,130.35%,1.304%,6.69,7.08%,83.535%,4,4560.977,0.2894,9.94,$445.23,1,0,1,Medium,High,Medium,High
376,"$17,001.06",81.99%,4,2.79,94.09%,5,130.45%,1.304%,9.22,5.09%,86.427%,7,1773.674,0.2780,9.98,$141.90,0,0,0,Medium,High,Medium,Medium
291,"$7,100.36",90.57%,5,4.68,98.78%,17,130.62%,1.306%,6.95,6.27%,88.855%,6,1771.295,0.2367,7.33,$185.66,1,1,0,Medium,Low,Medium,High
636,"$12,676.71",93.86%,1,0.91,70.50%,14,130.69%,1.307%,9.67,4.39%,92.515%,1,3434.166,0.3991,2.92,$453.84,1,0,1,Medium,Low,High,Medium
673,"$12,366.44",97.77%,0,1.24,65.63%,9,130.82%,1.308%,7.78,0.68%,88.574%,0,4555.266,0.1291,3.23,$355.42,1,0,1,Medium,Medium,Low,Low
198,"$5,327.35",88.34%,1,4.79,61.91%,8,130.89%,1.309%,5.39,5.74%,88.532%,0,1989.147,0.4802,5.83,$196.78,1,1,1,Medium,Medium,High,Medium
319,"$11,412.35",83.41%,4,4.19,95.53%,18,131.27%,1.313%,9.52,3.24%,83.254%,9,2571.438,0.3460,8.65,$430.51,1,1,0,Medium,Low,Medium,Medium
984,"$18,475.80",94.95%,2,4.61,60.15%,9,131.36%,1.314%,4.67,1.62%,86.125%,9,4805.950,0.2184,1.82,$110.57,1,1,1,Medium,Low,Low,Low
315,"$11,052.21",88.96%,1,2.26,84.58%,23,131.38%,1.314%,9.83,8.09%,95.748%,1,4508.863,0.1645,8.13,$138.24,1,0,0,Medium,High,Low,High
400,"$8,132.46",91.21%,1,1.90,87.35%,22,131.58%,1.316%,7.94,9.67%,92.295%,8,1955.288,0.4322,8.48,$249.14,1,0,0,Medium,Low,High,High
554,"$7,717.75",97.74%,2,0.84,92.10%,5,131.70%,1.317%,7.90,7.48%,89.932%,4,4218.134,0.2430,4.39,$183.13,0,0,0,Medium,Medium,Medium,High
217,"$13,965.02",85.55%,3,3.40,68.21%,16,132.01%,1.320%,8.41,9.85%,98.590%,3,4979.053,0.1811,8.94,$333.95,1,1,1,Medium,Medium,Low,High
575,"$6,154.58",85.45%,1,1.29,92.01%,9,132.09%,1.321%,3.57,7.26%,97.889%,1,2926.851,0.3831,7.50,$188.18,0,0,0,Medium,Low,High,High
988,"$6,223.98",85.37%,1,1.18,60.18%,22,132.20%,1.322%,6.12,4.04%,94.765%,6,4557.013,0.3406,1.06,$123.59,1,0,1,Medium,Medium,Medium,Medium
937,"$19,107.56",98.61%,5,2.90,94.06%,22,132.22%,1.322%,8.68,1.62%,84.641%,3,2903.070,0.3166,1.69,$140.22,1,0,0,Medium,High,Medium,Low
904,"$10,029.19",85.75%,1,4.95,72.29%,23,132.26%,1.323%,3.02,6.44%,81.321%,9,4698.626,0.3079,1.75,$477.30,1,1,1,Medium,High,Medium,High
117,"$19,892.25",96.70%,4,3.81,66.26%,11,132.38%,1.324%,8.59,9.31%,94.616%,6,1921.251,0.2175,9.94,$267.96,1,1,1,Medium,High,Low,High
649,"$8,880.67",88.35%,0,0.73,82.62%,11,132.70%,1.327%,3.42,0.67%,92.347%,1,3446.016,0.3469,8.07,$412.14,1,0,0,Medium,Low,Medium,Low
623,"$5,355.62",91.20%,5,1.75,96.17%,21,132.87%,1.329%,5.57,6.72%,85.185%,0,4520.529,0.2810,9.05,$459.90,1,0,0,Medium,Medium,Medium,High
732,"$12,616.37",91.71%,5,1.66,76.12%,17,133.05%,1.330%,5.62,9.23%,93.422%,3,3011.717,0.1359,7.85,$333.94,1,0,1,Medium,Medium,Low,High
226,"$5,464.34",99.25%,2,1.98,60.89%,22,133.07%,1.331%,8.59,0.71%,83.328%,9,2945.734,0.2104,9.56,$451.55,1,0,1,Medium,High,Low,Low
895,"$6,745.38",98.46%,3,4.07,96.38%,11,133.11%,1.331%,4.38,5.16%,87.615%,3,1906.587,0.3272,7.11,$263.02,1,1,0,Medium,Low,Medium,Medium
658,"$11,503.74",85.73%,0,3.04,82.51%,21,133.18%,1.332%,3.64,4.94%,83.183%,6,2975.167,0.3473,1.63,$417.81,1,1,0,Medium,High,Medium,Medium
516,"$17,996.35",98.72%,2,2.94,83.34%,8,133.20%,1.332%,5.28,8.89%,98.404%,9,3335.279,0.4899,1.25,$357.87,0,0,0,Medium,Medium,High,High
558,"$12,949.11",93.24%,3,3.21,69.31%,20,133.32%,1.333%,4.17,0.77%,95.106%,3,3795.976,0.3892,8.58,$314.86,1,1,1,Medium,Medium,High,Low
939,"$6,157.81",92.47%,4,4.08,76.62%,0,133.40%,1.334%,7.61,9.23%,87.701%,4,1654.318,0.2857,3.28,$245.33,1,1,1,Medium,Medium,Medium,High
716,"$8,784.68",85.14%,3,2.99,69.45%,1,133.41%,1.334%,7.10,7.71%,86.546%,3,2468.232,0.4223,5.80,$233.06,1,0,1,Medium,High,High,High
742,"$17,381.23",98.14%,0,3.04,75.69%,1,133.47%,1.335%,4.64,2.65%,80.032%,6,1907.953,0.3664,4.72,$119.53,1,1,1,Medium,High,Medium,Low
684,"$18,268.80",80.62%,0,1.46,90.97%,4,133.71%,1.337%,8.81,4.47%,88.506%,1,3110.883,0.1045,2.67,$224.82,0,0,0,Medium,High,Low,Medium
843,"$19,189.56",93.35%,2,0.65,96.34%,19,133.74%,1.337%,3.07,7.60%,97.330%,7,4191.971,0.1588,8.21,$414.38,1,0,0,Medium,Medium,Low,High
919,"$9,498.46",88.16%,0,4.10,96.33%,4,134.11%,1.341%,6.58,6.54%,80.445%,3,3250.367,0.1735,8.54,$323.79,1,1,0,Medium,High,Low,High
468,"$6,865.53",95.54%,3,4.38,63.59%,9,134.14%,1.341%,6.62,1.16%,86.247%,1,1538.979,0.3192,3.89,$486.48,1,1,1,Medium,High,Medium,Low
248,"$16,609.87",84.78%,1,2.43,70.14%,15,134.31%,1.343%,3.06,5.08%,81.690%,6,1310.133,0.2171,8.35,$482.62,1,0,1,Medium,Medium,Low,Medium
485,"$8,864.11",99.51%,4,2.66,95.79%,7,134.63%,1.346%,2.83,5.56%,88.776%,4,4674.381,0.4612,2.08,$315.42,0,0,0,Medium,Low,High,Medium
878,"$16,012.27",84.30%,0,0.74,82.87%,13,134.65%,1.346%,4.35,6.57%,90.993%,4,1353.589,0.3939,5.72,$381.74,1,0,0,Medium,Medium,High,High
259,"$11,543.69",95.43%,3,4.04,68.08%,10,134.85%,1.349%,4.32,9.07%,95.521%,9,3935.591,0.2911,3.52,$277.76,0,1,1,Medium,High,Medium,High
285,"$9,142.54",94.72%,1,1.17,97.37%,17,134.95%,1.349%,9.39,8.83%,97.027%,9,1691.635,0.2440,3.56,$274.21,1,0,0,Medium,Low,Medium,High
480,"$15,121.79",84.36%,4,4.98,75.25%,16,135.10%,1.351%,6.42,4.12%,94.304%,2,4545.635,0.3207,5.40,$237.23,1,1,1,Medium,Low,Medium,Medium
327,"$6,025.30",96.73%,4,1.57,96.29%,22,135.37%,1.354%,8.36,1.82%,85.103%,0,2071.431,0.3030,6.07,$155.19,1,0,0,Medium,Medium,Medium,Low
850,"$17,640.68",80.40%,3,1.60,97.68%,8,135.82%,1.358%,9.50,2.98%,87.569%,5,3461.729,0.4177,3.84,$412.63,1,0,0,Medium,Low,High,Low
242,"$5,148.66",84.19%,3,3.90,60.99%,13,135.84%,1.358%,4.51,2.06%,96.846%,1,3464.694,0.2547,2.35,$469.72,1,1,1,Medium,High,Medium,Low
484,"$12,467.19",91.57%,2,2.53,64.77%,19,135.87%,1.359%,5.06,7.31%,99.051%,2,1618.453,0.4191,3.46,$446.01,1,0,1,Medium,Low,High,High
659,"$7,796.30",91.54%,2,1.84,72.48%,4,136.00%,1.360%,6.57,9.73%,90.057%,3,1724.778,0.4167,4.94,$358.79,0,0,1,Medium,Medium,High,High
217,"$19,363.72",94.34%,4,2.30,90.33%,15,136.08%,1.361%,2.27,6.84%,97.239%,2,3048.388,0.1369,8.95,$385.06,1,0,0,Medium,Medium,Low,High
198,"$5,114.96",82.09%,2,3.01,88.96%,16,136.22%,1.362%,5.55,7.05%,85.441%,1,1566.290,0.1963,1.16,$245.16,1,1,0,Medium,Low,Low,High
513,"$6,281.05",92.10%,3,4.59,69.77%,4,136.65%,1.366%,7.31,8.70%,90.872%,0,1085.662,0.1795,9.89,$441.09,1,1,1,Medium,Low,Low,High
616,"$15,695.69",88.31%,2,1.09,69.58%,16,136.82%,1.368%,4.59,3.26%,97.167%,1,3375.937,0.1075,3.29,$222.56,1,0,1,Medium,Medium,Low,Medium
553,"$12,126.35",97.66%,5,4.99,98.81%,16,136.87%,1.369%,8.59,7.54%,87.272%,9,2524.749,0.4258,5.48,$132.49,1,1,0,Medium,Medium,High,High
688,"$5,589.04",95.40%,3,1.05,88.61%,6,136.95%,1.370%,2.60,6.99%,91.005%,7,1474.685,0.2344,2.02,$418.38,0,0,0,Medium,Medium,Medium,High
553,"$13,432.83",92.37%,3,1.95,78.27%,16,136.98%,1.370%,3.57,9.28%,92.150%,6,2890.316,0.4502,8.66,$393.35,1,0,1,Medium,Medium,High,High
562,"$6,630.24",97.68%,2,3.86,67.73%,5,137.19%,1.372%,3.36,5.43%,99.648%,3,1111.264,0.2081,3.53,$136.47,1,1,1,Medium,Medium,Low,Medium
811,"$11,913.48",85.38%,2,0.73,96.34%,8,137.50%,1.375%,5.93,3.40%,82.036%,2,3557.971,0.3330,8.79,$404.70,1,0,0,Medium,Medium,Medium,Medium
351,"$5,785.33",83.85%,4,3.21,79.94%,16,137.56%,1.376%,4.44,8.61%,97.980%,6,3493.800,0.1158,8.38,$180.65,1,1,1,Medium,High,Low,High
833,"$11,874.51",85.64%,0,3.93,91.48%,8,137.80%,1.378%,6.83,4.75%,80.976%,1,3225.903,0.3397,9.30,$423.86,1,1,0,Medium,Low,Medium,Medium
162,"$13,682.10",98.84%,0,2.88,66.23%,6,137.88%,1.379%,8.46,9.25%,84.429%,1,2654.206,0.4331,6.93,$202.65,1,0,1,Medium,High,High,High
753,"$18,536.80",87.11%,3,4.79,63.28%,13,137.89%,1.379%,2.09,9.43%,80.160%,4,3276.692,0.4347,5.56,$116.32,1,1,1,Medium,Low,High,High
884,"$13,947.01",94.85%,5,2.32,95.78%,17,138.06%,1.381%,9.97,7.61%,97.813%,9,1435.115,0.4746,3.44,$216.79,1,0,0,Medium,High,High,High
275,"$14,846.14",80.37%,5,1.41,63.83%,12,138.09%,1.381%,6.72,3.15%,82.067%,9,3006.468,0.1266,9.78,$326.80,1,0,1,Medium,High,Low,Medium
616,"$8,849.71",92.06%,0,3.05,73.43%,8,138.10%,1.381%,8.18,8.54%,95.343%,7,2196.477,0.4312,5.46,$261.16,1,1,1,Medium,Low,High,High
302,"$10,366.97",99.34%,0,3.40,86.14%,11,138.29%,1.383%,9.32,8.38%,87.177%,8,1343.442,0.4683,5.58,$260.00,1,1,0,Medium,Medium,High,High
272,"$11,122.28",99.01%,4,1.01,94.19%,8,138.48%,1.385%,7.52,1.18%,93.037%,9,1068.901,0.3861,7.01,$413.10,0,0,0,Medium,Low,High,Low
317,"$11,959.73",99.69%,2,4.45,67.09%,0,138.69%,1.387%,4.18,5.80%,95.830%,6,2777.464,0.4507,2.85,$482.17,1,1,1,Medium,Low,High,Medium
976,"$19,705.53",87.29%,1,1.09,79.41%,19,138.79%,1.388%,3.61,1.87%,83.454%,7,2432.765,0.1644,6.07,$341.23,1,0,1,Medium,Low,Low,Low
355,"$7,209.55",92.97%,4,2.89,81.43%,3,139.08%,1.391%,7.11,3.28%,80.693%,5,4905.107,0.4625,2.22,$470.68,0,0,0,Medium,High,High,Medium
392,"$8,145.35",98.81%,2,1.56,74.90%,21,139.09%,1.391%,3.04,7.59%,95.770%,2,1020.356,0.1070,4.54,$440.62,1,0,1,Medium,Low,Low,High
372,"$15,090.54",98.40%,3,4.08,68.20%,15,139.12%,1.391%,7.14,0.25%,82.049%,4,3554.497,0.3781,1.16,$307.18,1,1,1,Medium,Low,High,Low
109,"$8,842.87",94.39%,1,1.72,69.50%,10,139.29%,1.393%,8.97,1.59%,91.690%,9,3696.645,0.1052,3.15,$179.74,1,0,1,Medium,Low,Low,Low
900,"$6,849.26",89.00%,4,4.88,73.59%,18,139.40%,1.394%,4.44,3.70%,90.244%,5,2325.490,0.4369,7.36,$387.84,1,1,1,Medium,Low,High,Medium
869,"$11,116.67",80.05%,2,1.90,94.02%,5,139.40%,1.394%,4.31,8.50%,86.189%,1,2971.221,0.2004,6.56,$116.23,1,0,0,Medium,High,Low,High
463,"$12,327.43",84.61%,3,4.82,72.89%,4,139.51%,1.395%,2.95,8.56%,81.842%,0,2674.295,0.3753,1.62,$272.57,1,1,1,Medium,High,High,High
934,"$5,807.46",95.64%,0,1.33,65.62%,18,139.60%,1.396%,2.65,2.77%,94.729%,9,4892.981,0.1599,7.30,$382.14,1,0,1,Medium,Medium,Low,Low
867,"$18,255.26",80.00%,1,4.37,95.13%,9,139.63%,1.396%,4.88,2.84%,89.223%,7,3805.319,0.4715,8.41,$473.69,1,1,0,Medium,High,High,Low
292,"$13,490.28",93.81%,3,1.30,99.71%,12,140.28%,1.403%,5.56,0.39%,87.200%,7,4063.356,0.1476,2.09,$287.44,1,0,0,Medium,High,Low,Low
626,"$9,459.31",94.41%,0,3.86,97.13%,8,140.35%,1.403%,3.31,8.95%,91.747%,6,1841.563,0.4115,5.71,$112.57,1,1,0,Medium,Low,High,High
